,Strain,Type,Rating,Effects,Flavor,Description,strain,id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1107,Og-Los-Angeles-Kush,indica,4.7,"Sleepy,Relaxed,Hungry,Euphoric,Focused","Earthy,Citrus",The self-titled Original Los Angeles Kush by Los Angeles Kush is an award winning indica with a THC percentage pushing 27%.The strain’s dense lime green nugs are sticky with resin and emit a deep aroma of pine and fuel. OG LAK brings amplified indica effects that sedate and weigh on the body. This restful mental and physical state makes OG LAK an excellent night cap or good medicine for consumers suffering from insomnia and chronic pain. Utilize the Original Los Angeles Kush in the evening to get the best results from this potent indica strain.     ,og-los-angeles-kush,2011,2,0,OG Los Angeles Kush,,,,Indica,,,"Sleepy, Relaxed, Happy, Hungry, Tingly",Pain,Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108,Og-Poison,hybrid,4.3,"Relaxed,Sleepy,Euphoric,Hungry,Focused","Earthy,Diesel,Sweet","OG Poison (also known as Poison OG) may put you to sleep after the first taste. Potent and fast-acting, this hybrid was designed to knock out even the worst cases of insomnia. Not a good strain if you’d like to get things done, OG Poison is strictly for nighttime use. Featuring a pungent and piney aroma, this strain is long-lasting and provides a very soothing, heavy body sensation for users. ",og-poison,271,1,0,OG Poison,,,,Hybrid,0,,,,,,,127,,,0,,,0,,,,,,,,,
1109,Og-Ringo,hybrid,4.5,"Happy,Relaxed,Uplifted,Hungry,Euphoric","Lemon,Sweet,Pine","OG Ringo is an indica-dominant variety of OG Kush bred by SoHum Seeds. The potent hybrid is named for the late Lawrence Ringo, a famed leader in CBD breeding and cannabis activist. OG Ringo is a high-THC strain with large, chunky blossoms that give off an earthy and floral musk that mixes with a smooth, sweet piney note to create long-lasting euphoric effects. With a lemon aftertaste, OG Ringo offers pain and stress relieving properties.",og-ringo,7110,2,0,OG Ringo,,,,Hybrid,,Southern Humboldt Seed Collective,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110,Og-Shark,hybrid,4.5,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Earthy,Chemical,Woody","OG Shark, a rare strain found primarily in Canada, sets high standards with its impressive THC content and pungent, earthy aroma. Patients most commonly turn to this heavy-hitter for nausea, pain, and sleep disorders, as well as many other symptoms.",og-shark,4342,2,0,OG Shark,,,,Hybrid,,Canadian Seed Co.,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1111,Og-Skunk,hybrid,4.8,"Happy,Euphoric,Creative,Relaxed,Uplifted","Skunk,Woody,Pine","A cross between OG #18 and Skunk #1, OG Skunk is a 60% sativa-dominant hybrid from DNA Genetics. Flavors of sour fuel and skunky citrus are sure to please fans of both parent strains, while the high offers a nice uplifting head effect along with a relaxing body buzz. Its THC levels have been measured between 16% and 22%.",og-skunk,5546,2,0,OG Skunk,,,,Hybrid,,DNA Genetics,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1112,Og-Strawberry,hybrid,4.4,"Happy,Creative,Uplifted,Euphoric,Relaxed","Strawberry,Sweet,Earthy","OG Strawberry, grown on the southwest ridgeline of Mendocino County by HappyDays Farms, is an indica-dominant hybrid strain that delivers crushing effects alongside a sour fuel aroma. With a THC content that can stretch to 29%, OG Strawberry is a force to be reckoned with. This hybrid combines parent strains OG Kush and Island Strawberry Afghani Indica, a union of potency that will impress even the seasoned veteran.",og-strawberry,3114,2,0,OG Strawberry,,,,Hybrid,,Unknown Breeder,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1113,Og-Wreck,hybrid,4.3,"Focused,Euphoric,Uplifted,Happy,Tingly","Sweet,Earthy,Pungent","OG Wreck, a hybrid cross between the famed OG Kush and Trainwreck, is a potent sativa-dominant strain with powerful cerebral effects and medicinal properties. Its chunky, conic buds characteristic of its OG genes are blanketed with frosty crystal trichomes, accenting the flower with a white--almost blue--hue. OG Wreck’s jolting sativa onset is preceded by a sour, skunky aroma and fruity flavor with spicy pepper undertones. This high-THC strain ushers in a variety of therapeutic effects suitable for patients treating pain, nausea, appetite loss, fatigue, depression, headaches, and stress.",og-wreck,272,1,0,OG Wreck,,,,Hybrid,0,Unknown Breeder,,,,,,0,,,0,,,0,,,,,,,,,
1114,Ogiesel,hybrid,4.2,"Euphoric,Energetic,Creative,Relaxed,Happy","Earthy,Pine,Diesel","An inspirational cross between SFV OG Kush and Giesel, OGiesel is all smiles. While mild at first, a euphoric feeling creeps up steadily after initial use. While the slightly sativa dominant traits make this a happy, uplifting strain, OGiesel provides a truly hybrid experience. Its smiley effects are complemented by an easy feeling of bodily relaxation, making this strain perfect for an afternoon picnic or regular daytime use. The aroma of this hybrid is strong and piney with pleasant lemon undertones. OGiesel typically flowers in 8 weeks and features more indica-like growing characteristics. For best yields, this strain should be grown indoors.",ogiesel,273,1,0,OGiesel,,,,Hybrid,0,The Cali Connection,,,,"Los Angeles, CA",,1900,,,0,,,0,,,,,,,,,
1115,Obama-Kush,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Creative","Earthy,Sweet,Pungent","This unique indica appropriately channels the President’s famous message of ‘Change’ as it invigorates and inspires. Daughter of indica Afghani and mostly sativa hybrid OG Kush, Obama Kush sets itself apart from other indicas through its cerebral stimulation and euphoric rush. This strain is recommended for all levels of patients looking for a balanced experience, as it offers powerful physical effects as well as an intense cerebral uplift that does not stimulate appetite or put you to sleep. The flowers are frosty with a purple hue and reddish hairs, giving off a light aroma.",obama-kush,2007,2,0,Obama Kush,,,,Hybrid,,Unknown Breeder,"Relaxed, Uplifted, Euphoric, Happy, Focused, Dry Mouth, Paranoid, Anxious","Pain, Stress, Depression, Nausea, Muscle Spasms","Earthy, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1116,Odyssey,hybrid,4.3,"Focused,Relaxed,Happy,Uplifted,Tingly","Sweet,Skunk,Flowery","Odyssey is a well-balanced hybrid strain that originated in San Francisco and quickly became popular in the Bay Area. This strain flowers at 7 to 8 weeks, producing large, dense buds that have a sweet, sugary aroma. Its candy flavor is best appreciated through a vaporizer and provides strong head-based effects. Some head pressure is common, but this strain’s indica side comes out later, leading to a body-melting calm. Overall, Odyssey will take you on a smooth journey.",odyssey,269,1,0,Odyssey,,,,Hybrid,0,Unknown Breeder,,,,,,127,,,0,,,0,,,,,,,,,
1117,Ogre,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Aroused","Skunk,Pungent,Earthy","There are several cannabis strains out there with the moniker of “Ogre.” The best known and most sought after is a sativa/Skunk-leaning phenotype of the multiple award-winning indica Sensi Star. While most phenotypes of Sensi Star are fairly compact indica plants, the Ogre is named for its much larger size and huge yields. Giant, frosty colas produce very high levels of THC and a pungent lemon-skunk aroma.",ogre,274,1,0,Ogre,,,,Hybrid,0,Unknown Breeder,,,,"Richmond, CA",,1900,,,0,,,0,,,,,,,,,
1118,Ogre-Berry,indica,4.3,"Happy,Relaxed,Focused,Sleepy,Giggly","Blueberry,Berry,Earthy","Ogre Berry is an indica-dominant strain cultivated in the highlands of Northern Mendocino County by HappyDay Farms. Combining Ogre with Island Strawberry Afghani Indica, Ogre Berry regularly tests between 24-28% THC and offers potent relief to aches and pains. Heavy euphoria blankets the mind with sensations of calm relaxation, and while these effects come with great medicinal potential, you may want to set this strain aside when faced with a busy day or cognitive tasks. Sweet citrus flavors meet a fuel-like skunk aroma, creating a sweet and sour fusion to be enjoyed by terpene enthusiasts.",ogre-berry,2012,2,0,Ogre Berry,,,,Hybrid,,HappyDay Farms,"Focused, Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid","Stress, Lack of Appetite, Insomnia, Pain, Depression","Blueberry, Berry, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1119,Old-Lyme-Connecticut-Og,hybrid,4.5,"Energetic,Happy,Talkative,Uplifted,Euphoric","Tree,Fruit,Pungent,Pine",,old-lyme-connecticut-og,275,1,0,Old Lyme Connecticut OG,,,,Hybrid,0,,,,,,,0,,,0,,,0,,,,,,,,,
1120,Old-Mother-Sativa,sativa,4.0,None,,"Old Mother Sativa is an enormous plant with uplifting, euphoric effects. This strain is believed to have originated in Southeast Asia, but gained popularity in Australia during the 1960’s and 70’s. With bushes that can reach upwards of 15 feet tall, this flower grows well in a variety of climates. Known for its resistance to drought and its long growing season, Old Mother Sativa yields a wealth of frosty buds, given the time to flourish. Expect happy, uplifting effects that nullify stress and imbue the consumer with a giddy sense of wellbeing.  ",old-mother-sativa,1577,2,0,Old Mother Sativa,,,,Sativa,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1121,Oldtimers-Haze,sativa,5.0,"Tingly,Uplifted,Energetic","Citrus,Pine","Oldtimer’s Haze is a semi-stable old school Haze varietal from the 60s and 70s. This strain survived for decades with the help of Oldtimer, a British cannabis breeder, and has since gone on to influence famous buds like Purple Haze and Green Haze. While the genetic background of this strain is ambiguous, it remains one of Ace Seeds’ most sought after cultivars. Oldtimer’s Haze offers stimulating effects and aromas that speak to the heady, spicy buds of yesteryear.  ",oldtimers-haze,5455,2,0,Oldtimers Haze,,,,Hybrid,,ACE Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1122,Omega,hybrid,4.8,"Euphoric,Happy,Tingly,Relaxed,Uplifted","Menthol,Spicy/Herbal,Sweet","Bred over generations from White Widow, Kush, NYC Diesel, and Permafrost genetics, Omega by Rogue Buds is a hybrid strain that lets the mind soar while relaxing the body. This high-THC strain carries a pungent and complex aroma comprised of earthy pine, sweet citrus, and spicy menthol notes. Omega eases muscle tension and frees the headspace of excessive stress, making this strain a perfect partner for winding down after a long day.",omega,3242,2,0,Omega,,,,Hybrid,,Unknown Breeder,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1123,Opal-Og-Kush,indica,4.5,"Relaxed,Euphoric,Aroused,Sleepy,Tingly","Strawberry,Earthy,Lavender","Opal OG Kush is an 80% indica strain grown by Nine Point Growth Industries in Washington state. With genetics coming from a blend of Frankenstein and Lemon OG Kush, Opal OG Kush buds grow into a colorful patchwork of red, green, and purple hues. Heavy, cerebrally concentrated euphoria melts down throughout the body, evening out to calming relaxation and dreamy bliss. Opal OG Kush is grown indoors in a soil medium, and is available in Washington’s recreational cannabis stores.",opal-og-kush,2013,2,0,Opal OG Kush,,,,Indica,,,"Relaxed, Euphoric, Horny, Happy, Focused, Dry Mouth, Paranoid","Stress, Insomnia, Muscle Spasms, Depression, Lack of Appetite","Earthy, Lavender, Strawberry",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1124,Opium,hybrid,4.8,"Happy,Relaxed,Euphoric,Uplifted,Giggly","Earthy,Citrus,Flowery","Opium by Paradise Seeds is an even 50/50 hybrid that offers the best of both indica and sativa strains. This strain won 2nd place at the 2006 High Times Cannabis Cup and has grown in popularity since. Known to flourish indoors, this plant grows fat, resinous colas when hydroponics are employed. Outside, this strain is a different beast, growing more fickle in guerrilla cropping conditions. ",opium,8411,2,0,Opium,,,,Hybrid,,Paradise Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125,Or,hybrid,4.4,"Hungry,Happy,Relaxed,Euphoric,Sleepy","Earthy,Flowery,Woody","Or, comprised of 70 percent indica genetics, is an Israeli strain from the medical cannabis supplier Tikun Olam. Primarily designed for patients with sleep disorders, Or also remedies an array of other symptoms including nausea, pain, inflammation, indigestion, and appetite loss.",or,6181,2,0,Or,,,,Hybrid,,Tikun Olam,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1126,Orange-Afghani,indica,4.5,"Hungry,Relaxed,Sleepy,Creative,Uplifted","Orange,Citrus,Earthy","Orange Afghani by Bedford Grow is a heavy indica with bright terpenes. Crossing an Orange Ghost mother and a Lashkar Gah/White ‘91 father, Orange Afghani inherits tart citrus terpenes overlain by a sweet, floral undertone native to many traditional Kush cuts. This strain has a happy, euphoric buzz that couples well with its functional relaxation. Orange Afghani is also known to produce high levels of the terpene terpinolene.   ",orange-afghani,2014,2,0,Orange Afghani,,,,Indica,,,"Uplifted, Euphoric, Happy, Hungry, Relaxed","Depression, Insomnia, Lack of Appetite, Pain","Sweet, Orange",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1127,Orange-Bud,hybrid,4.3,"Happy,Euphoric,Energetic,Relaxed,Uplifted","Orange,Citrus,Pungent","First bred in 1980s by Dutch Passion, Orange Bud cannabis strain is a combination of two members of the 100% Skunk family. It is one of the more potent and most simplistic strains to cultivate, with buds that are dense with a large amount THC crystals. With bright orange hairs coating the surface, this strain has scents of orange and nectarines with a flowering time of 8-9 weeks. Orange Bud's THC content has been measured up to 16.5% and grows well both indoors and out. ",orange-bud,276,1,0,Orange Bud,,,,Hybrid,0,Dutch Passion Seed Company,,,,,,127,,,0,,,0,,,,,,,,,
1128,Orange-Cookies,hybrid,4.6,"Relaxed,Happy,Uplifted,Euphoric,Creative","Citrus,Orange,Sweet","Orange Cookies bred by Franchise Genetics is a hybrid that combines Orange Juice with the renowned Girl Scout Cookies. A flavor-packed strain, Orange Cookies expresses itself with a strong aroma of sweet citrus that closely resembles a fresh tangerine. The flavors of Orange Cookies gives way to deep calming body effects that mingle with a euphoric cerebral buzz to leave you happy and relaxed. ",orange-cookies,5394,2,0,Orange Cookies,,,,Hybrid,,Franchise Genetics,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1129,Orange-Creamsicle,hybrid,4.8,"Relaxed,Happy,Euphoric,Uplifted,Focused","Citrus,Orange,Sweet","Taking the best attributes of parent strains Orange Crush and Juicy Fruit, Orange Creamsicle’s tall structure, heavy colas, and pungent flavor will be sure to keep you coming back for more. This hybrid strain, as the name suggests, has a strong citrus flavor and is used to treat nausea and anxiety. Growers will be happy with this heavy producer that flowers in 9 weeks with beautiful orange-white coloring and a thick coating of resin.",orange-creamsicle,6905,2,0,Orange Creamsicle,,,,Hybrid,,MTG Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1130,Orange-Crush,hybrid,4.2,"Uplifted,Happy,Relaxed,Energetic,Creative","Citrus,Orange,Sweet","Orange Crush is a sativa-dominant cannabis strain with a super sweet tangy flavor and aroma. Bred by BC Growers Association with California Orange and Blueberry for parents, Orange Crush produces a powerful cerebral sensation that can last up to two hours. It has small, dense buds that contain a large amount of trichomes and many orange pistils. Orange Crush has a flowering time of 7-9 weeks and a THC content of up to 15%.",orange-crush,277,1,0,Orange Crush,,,,Hybrid,0,BC Growers Association,,,,,,127,,,0,,,0,,,,,,,,,
1131,Orange-Crush,hybrid,4.2,"Uplifted,Happy,Relaxed,Energetic,Creative","Citrus,Orange,Sweet","Orange Crush is a sativa-dominant cannabis strain with a super sweet tangy flavor and aroma. Bred by BC Growers Association with California Orange and Blueberry for parents, Orange Crush produces a powerful cerebral sensation that can last up to two hours. It has small, dense buds that contain a large amount of trichomes and many orange pistils. Orange Crush has a flowering time of 7-9 weeks and a THC content of up to 15%.",orange-crush,871,1,0,Orange Crush,,,,Hybrid,,BC Growers Association,,,,,,0,,,0,,,0,,,,,,,,,
1132,Orange-Diesel,hybrid,4.4,"Relaxed,Focused,Talkative,Energetic,Euphoric","Citrus,Orange,Diesel","Orange Diesel, or Agent D, is a sativa-dominant hybrid that combines Sour Diesel and TGA Seeds’ Agent Orange. This lineage is evident in Orange Diesel’s sweet citrus flavor which is accented by a subtle diesel aftertaste. Sativa-lovers will appreciate the sharp sense of energy and focus that Orange Diesel delivers, and these effects may be helpful for patients treating ADD/ADHD, fatigue, and stress.",orange-diesel,1353,2,0,Orange Diesel,,,,Hybrid,,Canopy Cafe & Delivery,,,,"Toluca Lake, CA",,1500,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
